Compound.Name,Kovats (d-alkane),Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain
20200803_1535_blob_10_,1959.722222,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",794,822,,C16H50O7Si8,578
20200803_1535_blob_756_oil,2623.300971,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",794,830,,C30H52O2,444
20200803_1535_blob_896_oil,2697.087379,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",794,831,,C30H52O2,444
20200803_1535_blob_730_,2432.432432,"Pyrene, 1,3-dimethyl-",793,907,,C18H14,230
20200803_0949_blob_750_,2250.420168,"13-Octadecenoic acid, (E)-, TMS derivative",793,798,2228,C21H42O2Si,354
20200803_1535_blob_992_,1678.481013,"Dodecanoic acid, TMS derivative",791,805,1655,C15H32O2Si,272
20200803_1535_blob_777_,2216.666667,"Phenanthrene, 2,3,5-trimethyl-",789,848,,C17H16,220
20200803_1535_blob_822_,1976.388889,"Pentadecanoic acid, TMS derivative",789,833,1950,C18H38O2Si,314
20200803_1535_blob_875_,1848.611111,"Ethanol, 2-(9-octadecenyloxy)-, (Z)-",789,795,,C20H40O2,312
20200803_1535_blob_694_,2293.333333,"9,10-Anthracenedione, 2,7-dimethyl-",788,868,,C16H12O2,236
20200803_1535_blob_823_oil,2664.07767,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",788,822,,C30H52O2,444
20200803_1535_blob_854_oil,2679.61165,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",788,827,,C30H52O2,444
20200803_1535_blob_964_,2128.244275,"Heptadecane, 9-octyl-",787,798,,C25H52,352
