BlobID,Description,Compound Name,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library Name,Library Match Factor,Library Formula,Library ID,Library Molecular Weight,Library RI,Characteristic Ions,Characteristic Ions Response
149,,blob318_g48_1-Hexadecanol,,FALSE,0,52.16673923,1.39999972,155697,2101795,caice_voc_g48,819,C16H34O,172,242,,,
150,,"blob193_g48_Undecane, 3-methyl-",,FALSE,0,29.91674368,0.79999984,166674,870376,caice_voc_g48,891,C12H26,143,170,1172,,
155,,"blob320_g48_2,2-Dimethylpropionic acid, 4-methylpentyl ester",,FALSE,0,24.91674468,0.679999864,154662,873512,caice_voc_g48,831,C11H22O2,338,186,1048,,
157,,"blob491_g48_2-Decene, 8-methyl-, (Z)-",,FALSE,0,24.16674483,0.819999836,146487,2011178,caice_voc_g48,811,C11H22,262,154,1032,,
158,,blob229_g48_1-Iodo-2-methylundecane,,FALSE,0,31.83340997,0.779999844,157550,1122501,caice_voc_g48,762,C12H25I,138,296,,,
163,,"blob31_g48_2-Octen-1-ol, (E)-",,FALSE,0,25.16674463,2.159999568,134667,1483878,caice_voc_g48,925,C8H16O,37,128,1054,,
164,,blob23_g48_1-chloro octane_CAICE_vocstand_incomplete,,FALSE,0,26.66674433,1.539999692,138642,962001,caice_voc_g48,917,-,1,0,1090,,
188,,blob378_g48_Dodecanal,,FALSE,0,40.16674163,2.139999572,131009,1364209,caice_voc_g48,791,C12H24O,163,184,,,
196,,"blob250_g48_Oxalic acid, isohexyl neopentyl ester",,FALSE,0,34.33340947,0.739999852,144572,1116501,caice_voc_g48,855,C13H24O4,243,244,1282,,
201,,blob351_g48_3-Methylheptyl acetate,,FALSE,0,30.5000769,1.719999656,129130,918753,caice_voc_g48,858,C10H20O2,235,172,1187,,
204,,"blob616_g48_3-Penten-1-ol, 4-methyl-",,FALSE,0,10.58341422,3.09999938,121791,628869,caice_voc_g48,756,C6H12O,233,100,,,
206,,"blob465_g48_Oxalic acid, allyl hexadecyl ester",,FALSE,0,48.5000733,1.159999768,127817,1806089,caice_voc_g48,767,C21H38O4,269,354,1733,,
208,,"blob616_g48_3-Penten-1-ol, 4-methyl-",,FALSE,0,10.58341422,3.179999364,119106,1411780,caice_voc_g48,748,C6H12O,233,100,,,
209,,"blob215_g48_Nonane, 3,7-dimethyl-",,FALSE,0,45.5000739,0.819999836,138148,717712,caice_voc_g48,798,C11H24,137,156,,,
